signal_id,campaign_id,app_context,device_tier,supply_path,bid_density,contextual_fit,supply_quality,win_rate_gap,predicted_ltv,predicted_value_index,recommended_bid_change,estimated_opportunity
CMP001-SIG01,CMP001,puzzle games,mid-tier Android,retargeting pool,345000,0.41,0.691,0.243,6.46,73.8,0.186,9748
CMP001-SIG02,CMP001,finance content,high memory Android,direct SDK,345000,0.424,0.649,0.062,8.3,65.9,0.008,3205
CMP001-SIG03,CMP001,fitness apps,older iOS,retargeting pool,237000,0.623,0.795,0.079,7.67,75.6,0.124,2573
CMP001-SIG04,CMP001,travel planning,older iOS,exchange curated,240000,0.435,0.718,0.101,8.19,69.1,0.062,3557
CMP001-SIG05,CMP001,food utility,new iOS,exchange curated,247000,0.524,0.99,0.063,7.15,75.2,0.111,1988
CMP001-SIG06,CMP001,shopping apps,high memory Android,open auction,71000,0.581,0.484,0.104,8.9,69.7,0.071,1184
CMP002-SIG01,CMP002,puzzle games,mid-tier Android,exchange curated,135000,0.664,0.911,0.204,7.96,84.2,0.282,3942
CMP002-SIG02,CMP002,finance content,older iOS,direct SDK,94000,0.765,0.762,0.217,9.83,85.3,0.3,3601
CMP002-SIG03,CMP002,fitness apps,mid-tier Android,open auction,97000,0.719,0.443,0.156,7.43,75.5,0.161,2021
CMP002-SIG04,CMP002,travel planning,mid-tier Android,retargeting pool,185000,0.525,0.64,0.184,7.24,74.0,0.159,4431
CMP002-SIG05,CMP002,food utility,new iOS,exchange curated,168000,0.565,0.667,0.299,7.01,80.7,0.291,6341
CMP002-SIG06,CMP002,shopping apps,older iOS,exchange curated,278000,0.654,0.75,0.329,9.16,86.2,0.32,15098
CMP003-SIG01,CMP003,puzzle games,mid-tier Android,open auction,128000,0.849,0.583,0.191,8.21,83.7,0.27,3613
CMP003-SIG02,CMP003,finance content,older iOS,open auction,205000,0.83,0.619,0.149,8.17,81.9,0.229,4482
CMP003-SIG03,CMP003,fitness apps,older iOS,exchange curated,333000,0.832,0.901,0.09,8.75,84.6,0.23,4730
CMP003-SIG04,CMP003,travel planning,high memory Android,retargeting pool,146000,0.941,0.788,0.066,10.22,85.1,0.223,1779
CMP003-SIG05,CMP003,food utility,high memory Android,exchange curated,251000,0.98,0.848,0.249,10.65,95.1,0.32,12001
CMP003-SIG06,CMP003,shopping apps,high memory Android,retargeting pool,243000,0.731,0.738,0.1,7.9,78.9,0.171,3451
CMP004-SIG01,CMP004,puzzle games,new iOS,retargeting pool,206000,0.482,0.795,0.107,7.79,72.2,0.1,3099
CMP004-SIG02,CMP004,finance content,high memory Android,direct SDK,180000,0.667,0.892,0.026,10.51,76.5,0.107,887
CMP004-SIG03,CMP004,fitness apps,mid-tier Android,exchange curated,102000,0.724,0.651,0.204,8.51,81.5,0.252,3190
CMP004-SIG04,CMP004,travel planning,mid-tier Android,exchange curated,306000,0.414,0.92,0.082,7.76,71.2,0.076,3495
CMP004-SIG05,CMP004,food utility,new iOS,open auction,266000,0.666,0.64,0.01,8.9,71.3,0.042,426
CMP004-SIG06,CMP004,shopping apps,older iOS,exchange curated,242000,0.577,0.816,0.039,7.73,72.8,0.073,1316
CMP005-SIG01,CMP005,puzzle games,mid-tier Android,exchange curated,215000,0.654,0.794,0.257,7.47,84.0,0.306,7437
CMP005-SIG02,CMP005,finance content,mid-tier Android,exchange curated,224000,0.762,0.924,0.199,10.49,87.4,0.315,8416
CMP005-SIG03,CMP005,fitness apps,older iOS,direct SDK,300000,0.484,0.99,0.19,8.98,79.3,0.221,9223
CMP005-SIG04,CMP005,travel planning,older iOS,retargeting pool,328000,0.45,0.635,0.157,8.31,70.4,0.105,7712
CMP005-SIG05,CMP005,food utility,mid-tier Android,retargeting pool,230000,0.408,0.7,0.104,7.06,68.0,0.052,3031
CMP005-SIG06,CMP005,shopping apps,new iOS,exchange curated,278000,0.471,0.67,0.135,9.35,70.8,0.099,6312
CMP006-SIG01,CMP006,puzzle games,mid-tier Android,direct SDK,338000,0.86,0.801,0.301,8.98,92.6,0.32,16461
CMP006-SIG02,CMP006,finance content,mid-tier Android,retargeting pool,339000,0.906,0.954,0.259,9.55,95.0,0.32,15064
CMP006-SIG03,CMP006,fitness apps,high memory Android,open auction,158000,0.957,0.975,0.178,8.81,93.7,0.32,4468
CMP006-SIG04,CMP006,travel planning,high memory Android,retargeting pool,329000,0.951,0.662,0.141,10.72,86.3,0.274,8925
CMP006-SIG05,CMP006,food utility,high memory Android,retargeting pool,192000,0.933,0.894,0.232,9.56,93.7,0.32,7677
CMP006-SIG06,CMP006,shopping apps,mid-tier Android,exchange curated,91000,0.688,0.772,0.069,8.28,76.8,0.132,940
CMP007-SIG01,CMP007,puzzle games,older iOS,retargeting pool,125000,0.678,0.622,0.148,7.51,77.1,0.175,2505
CMP007-SIG02,CMP007,finance content,new iOS,open auction,347000,0.375,0.99,0.205,7.77,76.4,0.196,9970
CMP007-SIG03,CMP007,fitness apps,new iOS,open auction,135000,0.474,0.878,0.213,8.68,77.9,0.217,4497
CMP007-SIG04,CMP007,travel planning,new iOS,open auction,54000,0.764,0.811,0.161,8.36,83.8,0.256,1304
CMP007-SIG05,CMP007,food utility,new iOS,exchange curated,160000,0.719,0.748,0.163,8.6,81.3,0.229,4038
CMP007-SIG06,CMP007,shopping apps,new iOS,exchange curated,250000,0.409,0.892,0.15,7.8,73.4,0.135,5273
CMP008-SIG01,CMP008,puzzle games,new iOS,exchange curated,57000,0.526,0.709,0.082,8.82,71.0,0.074,739
CMP008-SIG02,CMP008,finance content,mid-tier Android,retargeting pool,326000,0.408,0.953,0.12,7.89,73.3,0.119,5576
CMP008-SIG03,CMP008,fitness apps,high memory Android,direct SDK,175000,0.594,0.722,0.281,9.06,81.8,0.294,8012
CMP008-SIG04,CMP008,travel planning,new iOS,open auction,372000,0.738,0.519,0.369,10.01,86.4,0.32,24735
CMP008-SIG05,CMP008,food utility,new iOS,direct SDK,67000,0.74,0.852,0.245,9.21,87.3,0.32,2722
CMP008-SIG06,CMP008,shopping apps,high memory Android,direct SDK,247000,0.637,0.99,0.01,7.49,76.6,0.101,333
CMP009-SIG01,CMP009,puzzle games,mid-tier Android,retargeting pool,323000,0.544,0.57,0.066,8.63,68.4,0.037,3309
CMP009-SIG02,CMP009,finance content,mid-tier Android,open auction,191000,0.614,0.711,0.08,8.36,73.8,0.104,2288
CMP009-SIG03,CMP009,fitness apps,older iOS,direct SDK,330000,0.576,0.712,0.165,9.68,76.2,0.173,9460
CMP009-SIG04,CMP009,travel planning,new iOS,exchange curated,309000,0.525,0.685,0.232,8.77,76.9,0.215,11318
CMP009-SIG05,CMP009,food utility,mid-tier Android,exchange curated,145000,0.531,0.99,0.102,7.43,77.1,0.152,1978
CMP009-SIG06,CMP009,shopping apps,new iOS,retargeting pool,282000,0.76,0.775,0.137,9.96,82.0,0.224,6918
CMP010-SIG01,CMP010,puzzle games,new iOS,exchange curated,169000,0.764,0.852,0.201,9.36,86.2,0.303,5713
CMP010-SIG02,CMP010,finance content,new iOS,exchange curated,246000,0.697,0.99,0.186,7.91,85.9,0.292,6498
CMP010-SIG03,CMP010,fitness apps,new iOS,open auction,112000,0.763,0.624,0.16,9.96,80.4,0.218,3221
CMP010-SIG04,CMP010,travel planning,mid-tier Android,exchange curated,64000,0.49,0.775,0.075,7.26,70.8,0.068,624
CMP010-SIG05,CMP010,food utility,older iOS,direct SDK,48000,0.482,0.714,0.147,6.73,72.5,0.124,855
CMP010-SIG06,CMP010,shopping apps,new iOS,open auction,373000,0.744,0.669,0.212,9.35,82.8,0.27,13295
CMP011-SIG01,CMP011,puzzle games,new iOS,open auction,157000,0.547,0.976,0.135,8.27,78.8,0.188,3164
CMP011-SIG02,CMP011,finance content,new iOS,direct SDK,124000,0.714,0.758,0.183,9.54,82.2,0.249,3892
CMP011-SIG03,CMP011,fitness apps,mid-tier Android,direct SDK,158000,0.375,0.748,0.01,8.09,63.9,-0.041,230
CMP011-SIG04,CMP011,travel planning,new iOS,exchange curated,235000,0.423,0.794,0.175,6.58,73.2,0.145,4862
CMP011-SIG05,CMP011,food utility,new iOS,exchange curated,286000,0.512,0.874,0.173,7.43,77.4,0.191,6623
CMP011-SIG06,CMP011,shopping apps,high memory Android,exchange curated,120000,0.397,0.806,0.239,6.77,75.3,0.2,3490
CMP012-SIG01,CMP012,puzzle games,mid-tier Android,retargeting pool,55000,0.429,0.633,0.339,8.14,77.3,0.273,2731
CMP012-SIG02,CMP012,finance content,high memory Android,direct SDK,207000,0.541,0.943,0.161,8.66,79.0,0.203,5191
CMP012-SIG03,CMP012,fitness apps,high memory Android,exchange curated,131000,0.736,0.565,0.243,8.9,81.9,0.276,5091
CMP012-SIG04,CMP012,travel planning,older iOS,retargeting pool,270000,0.478,0.774,0.233,6.89,77.0,0.216,7796
CMP012-SIG05,CMP012,food utility,new iOS,exchange curated,347000,0.456,0.99,0.182,8.63,78.1,0.203,9809
CMP012-SIG06,CMP012,shopping apps,new iOS,retargeting pool,82000,0.708,0.566,0.098,9.44,74.9,0.125,1360
CMP013-SIG01,CMP013,puzzle games,high memory Android,exchange curated,311000,0.716,0.744,0.066,9.87,77.1,0.134,3668
CMP013-SIG02,CMP013,finance content,high memory Android,retargeting pool,69000,0.634,0.99,0.062,9.05,78.7,0.15,696
CMP013-SIG03,CMP013,fitness apps,new iOS,exchange curated,174000,0.98,0.731,0.212,8.24,91.4,0.32,5467
CMP013-SIG04,CMP013,travel planning,high memory Android,open auction,231000,0.919,0.814,0.211,10.11,90.9,0.32,8854
CMP013-SIG05,CMP013,food utility,new iOS,direct SDK,92000,0.86,0.707,0.255,9.4,88.9,0.32,3964
CMP013-SIG06,CMP013,shopping apps,new iOS,exchange curated,133000,0.756,0.841,0.13,8.43,82.8,0.23,2630
CMP014-SIG01,CMP014,puzzle games,high memory Android,direct SDK,43000,0.878,0.964,0.01,10.78,83.9,0.182,83
CMP014-SIG02,CMP014,finance content,older iOS,direct SDK,331000,0.734,0.64,0.112,9.95,77.7,0.164,6623
CMP014-SIG03,CMP014,fitness apps,high memory Android,retargeting pool,249000,0.554,0.909,0.199,8.98,80.4,0.237,7989
CMP014-SIG04,CMP014,travel planning,new iOS,open auction,87000,0.788,0.857,0.335,9.61,92.7,0.32,5038
CMP014-SIG05,CMP014,food utility,high memory Android,direct SDK,80000,0.603,0.882,0.342,8.24,87.5,0.32,4057
CMP014-SIG06,CMP014,shopping apps,older iOS,direct SDK,216000,0.597,0.537,0.203,7.25,75.3,0.183,5718
CMP015-SIG01,CMP015,puzzle games,high memory Android,retargeting pool,250000,0.581,0.879,0.103,7.5,76.7,0.148,3464
CMP015-SIG02,CMP015,finance content,older iOS,retargeting pool,324000,0.769,0.588,0.077,7.48,76.4,0.132,3355
CMP015-SIG03,CMP015,fitness apps,mid-tier Android,direct SDK,104000,0.854,0.808,0.081,9.38,83.3,0.211,1424
CMP015-SIG04,CMP015,travel planning,new iOS,direct SDK,348000,0.711,0.71,0.3,9.68,86.1,0.32,18216
CMP015-SIG05,CMP015,food utility,new iOS,retargeting pool,318000,0.836,0.766,0.148,8.6,84.8,0.261,7296
CMP015-SIG06,CMP015,shopping apps,new iOS,retargeting pool,302000,0.84,0.892,0.305,9.67,93.8,0.32,16053
CMP016-SIG01,CMP016,puzzle games,new iOS,exchange curated,331000,0.647,0.695,0.144,7.89,77.2,0.174,6757
CMP016-SIG02,CMP016,finance content,new iOS,open auction,367000,0.792,0.868,0.261,9.41,89.9,0.32,16209
CMP016-SIG03,CMP016,fitness apps,high memory Android,retargeting pool,235000,0.98,0.819,0.376,10.89,99,0.32,17335
CMP016-SIG04,CMP016,travel planning,mid-tier Android,direct SDK,133000,0.886,0.747,0.116,9.72,84.7,0.243,2691
CMP016-SIG05,CMP016,food utility,mid-tier Android,direct SDK,80000,0.724,0.774,0.14,7.43,81.0,0.214,1498
CMP016-SIG06,CMP016,shopping apps,new iOS,open auction,245000,0.955,0.898,0.074,8.12,87.8,0.257,2641
CMP017-SIG01,CMP017,puzzle games,older iOS,exchange curated,315000,0.623,0.888,0.281,8.15,85.7,0.32,12975
CMP017-SIG02,CMP017,finance content,older iOS,open auction,266000,0.592,0.915,0.16,7.4,80.2,0.216,5669
CMP017-SIG03,CMP017,fitness apps,mid-tier Android,direct SDK,89000,0.527,0.99,0.242,9.21,82.9,0.286,3568
CMP017-SIG04,CMP017,travel planning,new iOS,retargeting pool,92000,0.679,0.851,0.17,8.44,82.2,0.243,2374
CMP017-SIG05,CMP017,food utility,mid-tier Android,exchange curated,283000,0.653,0.755,0.072,7.74,75.5,0.119,2822
CMP017-SIG06,CMP017,shopping apps,older iOS,retargeting pool,342000,0.604,0.831,0.251,8.35,82.8,0.29,12915
CMP018-SIG01,CMP018,puzzle games,high memory Android,exchange curated,185000,0.631,0.88,0.168,9.41,81.1,0.23,5261
CMP018-SIG02,CMP018,finance content,older iOS,direct SDK,62000,0.593,0.647,0.144,7.7,74.7,0.147,1239
CMP018-SIG03,CMP018,fitness apps,new iOS,retargeting pool,112000,0.688,0.597,0.267,8.21,82.0,0.289,4425
CMP018-SIG04,CMP018,travel planning,new iOS,direct SDK,167000,0.541,0.86,0.117,9.08,75.7,0.144,3196
CMP018-SIG05,CMP018,food utility,older iOS,retargeting pool,275000,0.756,0.882,0.133,7.75,83.6,0.24,5102
CMP018-SIG06,CMP018,shopping apps,mid-tier Android,exchange curated,255000,0.522,0.707,0.089,7.21,71.2,0.08,2934
